Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
Campus Museums,Lincoln,College of Arts and Sciences,Campus Resource,2939.0,2014-08-25,Linguistics,2962,NE,2014,August,3,Monday,No,Premium
University Annual Fund,Mesa,College of Arts and Sciences,Endowment,3373.0,2014-04-17,Apparel and Textile Design,2963,AZ,2014,April,2,Thursday,No,Premium
University Annual Fund,Knoxville,College of Arts and Sciences,Endowment,1137.0,2014-11-11,Art Education,2964,TN,2014,November,4,Tuesday,No,Premium
Diversity Fund,West Valley City,College of Natural Science,Endowment,2925.0,2014-11-08,Biomedical Laboratory Science,2965,UT,2014,November,4,Saturday,Yes,Premium
College of Education,Atlanta,College of Agriculture and Natural Resources,Scholarship,10.0,2014-06-14,Fisheries and Wildlife,2966,GA,2014,June,2,Saturday,Yes,Small
Minority Scholarship Fund,Manchester,College of Engineering,Scholarship,76.0,2014-08-14,Computer Engineering,2967,NH,2014,August,3,Thursday,No,Small
Faculty Chair Endowments,Alexandria,College of Political Science,Endowment,9256.0,2014-03-14,Political Theory and Constitutional Democracy,2968,VA,2014,March,1,Friday,No,VIP
University Annual Fund,Sacramento,College of Social Science,Endowment,7544.0,2014-12-12,Global & Area Studies - Soc Sci,2969,CA,2014,December,4,Friday,No,VIP
College of Political Science,Nashville,College of Natural Science,Scholarship,4105.0,2014-03-14,Microbiology,2970,TN,2014,March,1,Friday,No,Premium
Faculty Chair Endowments,Huntsville,College of Social Science,Endowment,8974.0,2014-01-26,History Education,2971,AL,2014,January,1,Sunday,Yes,VIP
Faculty Chair Endowments,Little Rock,College of Social Science,Endowment,8764.0,2014-11-20,Urban and Regional Planning,2972,AR,2014,November,4,Thursday,No,VIP
College of Natural Science,Austin,College of Agriculture and Natural Resources,Scholarship,1672.0,2014-05-31,Horticulture,2973,TX,2014,May,2,Saturday,Yes,Premium
Diversity Fund,Cedar Rapids,College of Veterinary Medicine,Endowment,8860.0,2014-03-04,Preveterinary,2974,IA,2014,March,1,Tuesday,No,VIP
Trustees Fund,Naperville,College of Engineering,Endowment,9489.0,2014-03-18,Applied Engineering Sciences,2975,IL,2014,March,1,Tuesday,No,VIP
University Annual Fund,Denver,College of Social Science,Endowment,3078.0,2014-06-01,Criminal Justice,2976,CO,2014,June,2,Sunday,Yes,Premium
Trustees Fund,Memphis,College of Social Science,Endowment,174.0,2014-02-20,Interdisciplinary Studies in Social Science - Social Science Education,2977,TN,2014,February,1,Thursday,No,Medium
Diversity Fund,Austin,College of Natural Science,Endowment,6049.0,2014-12-14,Physical Science Interdepartmental,2978,TX,2014,December,4,Sunday,Yes,VIP
Trustees Fund,Los Angeles,College of Arts and Sciences,Endowment,5378.0,2014-10-30,Interdisciplinary Humanities,2979,CA,2014,October,4,Thursday,No,VIP
Athletics,Denver,College of Agriculture and Natural Resources,Campus Resource,11158.5,2014-10-05,Interior Design,2980,CO,2014,October,4,Sunday,Yes,VIP
In-State Scholarship Fund,Denver,College of Nursing,Scholarship,7594.5,2014-11-19,Nursing,2981,CO,2014,November,4,Wednesday,No,VIP
College of Business,Washington,College of Social Science,Scholarship,9426.0,2014-02-25,Global & Area Studies - Soc Sci,2982,DC,2014,February,1,Tuesday,No,VIP
College of Arts and Sciences,Houston,College of Natural Science,Scholarship,7048.0,2014-08-03,Preoptometry,2983,TX,2014,August,3,Sunday,Yes,VIP
Trustees Fund,Los Angeles,College of Social Science,Endowment,2242.0,2014-10-14,Political Science-Prelaw,2984,CA,2014,October,4,Tuesday,No,Premium
Diversity Fund,Cincinnati,College of Natural Science,Endowment,2891.0,2014-06-22,Predental,2985,OH,2014,June,2,Sunday,Yes,Premium
College of Arts and Sciences,Tallahassee,College of Social Science,Scholarship,4048.0,2014-07-04,Psychology,2986,FL,2014,July,3,Friday,No,Premium
Minority Scholarship Fund,Raleigh,College of Natural Science,Scholarship,2319.0,2014-09-08,Astrophysics,2987,NC,2014,September,3,Monday,No,Premium
College of Arts and Sciences,Chicago,College of Arts and Sciences,Scholarship,8943.0,2014-10-10,Spanish,2988,IL,2014,October,4,Friday,No,VIP
College of Natural Science,Phoenix,College of Engineering,Scholarship,4579.0,2014-06-04,Materials Science and Engineering,2989,AZ,2014,June,2,Wednesday,No,Premium
Trustees Fund,Kansas City,College of Natural Science,Endowment,544.0,2014-10-10,Actuarial Science,2990,MO,2014,October,4,Friday,No,Large
Parents Association,Reno,College of Agriculture and Natural Resources,Campus Resource,8784.0,2014-08-24,Agribusiness Management,2991,NV,2014,August,3,Sunday,Yes,VIP
In-State Scholarship Fund,Omaha,College of Music,Scholarship,6905.0,2014-11-11,Composition,2992,NE,2014,November,4,Tuesday,No,VIP
Diversity Fund,Atlanta,College of Arts and Sciences,Endowment,9724.0,2014-11-05,Studio Art,2993,GA,2014,November,4,Wednesday,No,VIP
College of Natural Science,Denver,College of Natural Science,Scholarship,6628.5,2014-11-19,Environmental Geosciences,2994,CO,2014,November,4,Wednesday,No,VIP
Diversity Fund,Manchester,College of Engineering,Endowment,6432.0,2014-04-27,Computer Science,2995,NH,2014,April,2,Sunday,Yes,VIP
Campus Recreation,Fort Lauderdale,College of Arts and Sciences,Campus Resource,3228.0,2014-07-26,Apparel and Textile Design,2996,FL,2014,July,3,Saturday,Yes,Premium
College of Social Science,Nashville,College of Business,Scholarship,9683.0,2014-10-10,Human Resource Management,2997,TN,2014,October,4,Friday,No,VIP
Trustees Fund,Richmond,College of Political Science,Endowment,4580.0,2014-02-03,Comparative Cultures and Politics,2998,VA,2014,February,1,Monday,No,Premium
Diversity Fund,Denver,College of Business,Endowment,1089.0,2014-02-13,Human Resource Management,2999,CO,2014,February,1,Thursday,No,Premium
Faculty Chair Endowments,Cincinnati,College of Natural Science,Endowment,5866.0,2014-05-28,Biological Science Interdepartmental,3000,OH,2014,May,2,Wednesday,No,VIP
College of Social Science,Little Rock,College of Social Science,Scholarship,6978.0,2014-04-03,Public Policy,3001,AR,2014,April,2,Thursday,No,VIP
College of Social Science,Boston,College of Agriculture and Natural Resources,Scholarship,2750.0,2014-07-24,Nutritional Sciences,3002,MA,2014,July,3,Thursday,No,Premium
College of Natural Science,Miami,College of Music,Scholarship,3736.0,2014-07-14,Jazz Studies,3003,FL,2014,July,3,Monday,No,Premium
Trustees Fund,Charlotte,College of Engineering,Endowment,103.0,2014-04-26,Materials Science and Engineering,3004,NC,2014,April,2,Saturday,Yes,Medium
Athletics,Phoenix,College of Agriculture and Natural Resources,Campus Resource,2697.0,2014-01-29,Animal Science,3005,AZ,2014,January,1,Wednesday,No,Premium
College of Natural Science,Boston,College of Agriculture and Natural Resources,Scholarship,6404.0,2014-10-12,Natural Resource Recreation and Tourism,3006,MA,2014,October,4,Sunday,Yes,VIP
University Annual Fund,Dallas,College of Engineering,Endowment,4323.0,2014-09-12,Mechanical Engineering,3007,TX,2014,September,3,Friday,No,Premium
In-State Scholarship Fund,Tallahassee,College of Natural Science,Scholarship,5898.0,2014-07-17,"Mathematics, Advanced",3008,FL,2014,July,3,Thursday,No,VIP
College of Arts and Sciences,Miami,College of Agriculture and Natural Resources,Scholarship,8644.0,2014-03-16,Interior Design,3009,FL,2014,March,1,Sunday,Yes,VIP
Minority Scholarship Fund,Durham,College of Natural Science,Scholarship,2242.0,2014-09-09,Zoology,3010,NC,2014,September,3,Tuesday,No,Premium
Diversity Fund,Orlando,College of Social Science,Endowment,7639.0,2014-05-01,Criminal Justice,3011,FL,2014,May,2,Thursday,No,VIP
Parents Association,New York,College of Natural Science,Campus Resource,8481.0,2014-11-10,"Mathematics, Advanced",3012,NY,2014,November,4,Monday,No,VIP
Diversity Fund,Cleveland,College of Arts and Sciences,Endowment,7050.0,2014-04-07,German,3013,OH,2014,April,2,Monday,No,VIP
Honors Program,Manchester,College of Arts and Sciences,Campus Resource,5030.0,2014-07-14,Arts & Letters-General,3014,NH,2014,July,3,Monday,No,VIP
University Annual Fund,Raleigh,College of Social Science,Endowment,9490.0,2014-01-06,Anthropology,3015,NC,2014,January,1,Monday,No,VIP
Trustees Fund,Chicago,College of Business,Endowment,7846.0,2014-01-29,Finance,3016,IL,2014,January,1,Wednesday,No,VIP
Trustees Fund,Phoenix,College of Arts and Sciences,Endowment,7583.0,2014-03-28,Global Studies in the Arts and Humanities,3017,AZ,2014,March,1,Friday,No,VIP
College of Political Science,Phoenix,College of Agriculture and Natural Resources,Scholarship,7899.0,2014-11-23,Entomology,3018,AZ,2014,November,4,Sunday,Yes,VIP
College of Political Science,Phoenix,College of Social Science,Scholarship,2277.0,2014-05-03,Sociology,3019,AZ,2014,May,2,Saturday,Yes,Premium
University Annual Fund,Denver,College of Natural Science,Endowment,10593.0,2015-02-27,Genomics & Molecular Genetics,3020,CO,2015,February,1,Friday,No,VIP
College of Arts and Sciences,Austin,College of Agriculture and Natural Resources,Scholarship,14497.0,2015-08-21,Packaging,3021,TX,2015,August,3,Friday,No,VIP
College of Arts and Sciences,Little Rock,College of Agriculture and Natural Resources,Scholarship,7638.0,2015-12-13,Horticulture,3022,AR,2015,December,4,Sunday,Yes,VIP
Trustees Fund,Naperville,College of Business,Endowment,9830.0,2015-01-22,Human Resource Management,3023,IL,2015,January,1,Thursday,No,VIP
Parents Association,Seattle,College of Social Science,Campus Resource,14464.0,2015-12-16,Human Development and Family Studies,3024,WA,2015,December,4,Wednesday,No,VIP
Minority Scholarship Fund,Milwaukee,College of Agriculture and Natural Resources,Scholarship,6482.0,2015-02-26,Nutritional Sciences,3025,WI,2015,February,1,Thursday,No,VIP
College of Arts and Sciences,Boston,College of Engineering,Scholarship,7455.0,2015-05-14,Electrical Engineering,3026,MA,2015,May,2,Thursday,No,VIP
College of Social Science,Atlanta,College of Business,Scholarship,5434.0,2015-10-08,General Management,3027,GA,2015,October,4,Thursday,No,VIP
College of Social Science,Philadelphia,College of Social Science,Scholarship,4171.0,2015-02-13,Interdisciplinary Studies in Social Science - Social Science Education,3028,PA,2015,February,1,Friday,No,Premium
Trustees Fund,Denver,College of Social Science,Endowment,18682.5,2015-02-26,Criminal Justice,3029,CO,2015,February,1,Thursday,No,VIP
Campus Recreation,Cincinnati,College of Arts and Sciences,Campus Resource,9909.0,2015-03-27,Global Studies in the Arts and Humanities,3030,OH,2015,March,1,Friday,No,VIP
Diversity Fund,Tucson,College of Business,Endowment,14033.0,2015-07-05,Supply Chain Management,3031,AZ,2015,July,3,Sunday,Yes,VIP
Athletics,Naperville,College of Arts and Sciences,Campus Resource,12318.0,2015-05-27,Apparel and Textile Design,3032,IL,2015,May,2,Wednesday,No,VIP
College of Education,Dallas,College of Natural Science,Scholarship,10177.0,2015-09-21,Geological Sciences,3033,TX,2015,September,3,Monday,No,VIP
Athletics,San Francisco,College of Agriculture and Natural Resources,Campus Resource,1822.0,2015-09-04,Landscape Architecture,3034,CA,2015,September,3,Friday,No,Premium
Athletics,Charlotte,College of Social Science,Campus Resource,3514.0,2015-05-27,Political Science,3035,NC,2015,May,2,Wednesday,No,Premium
College of Arts and Sciences,Las Vegas,College of Arts and Sciences,Scholarship,8765.0,2015-02-07,Art History and Visual Culture,3036,NV,2015,February,1,Saturday,Yes,VIP
College of Natural Science,Lansing,College of Social Science,Scholarship,6953.0,2015-04-30,World Politics,3037,MI,2015,April,2,Thursday,No,VIP
College of Natural Science,Cleveland,College of Arts and Sciences,Scholarship,11183.0,2015-11-16,Humanities-Prelaw,3038,OH,2015,November,4,Monday,No,VIP
College of Natural Science,Oklahoma City,College of Agriculture and Natural Resources,Scholarship,12675.0,2015-04-16,Natural Resource Recreation and Tourism,3039,OK,2015,April,2,Thursday,No,VIP
In-State Scholarship Fund,Richmond,College of Veterinary Medicine,Scholarship,4742.0,2015-04-30,Preveterinary,3040,VA,2015,April,2,Thursday,No,Premium
In-State Scholarship Fund,Baton Rouge,College of Music,Scholarship,14331.0,2015-05-15,Jazz Studies,3041,LA,2015,May,2,Friday,No,VIP
College of Agriculture and Natural Resources,San Francisco,College of Natural Science,Scholarship,14979.0,2015-09-03,Physical Science Interdepartmental,3042,CA,2015,September,3,Thursday,No,VIP
Minority Scholarship Fund,Houston,College of Engineering,Scholarship,12183.0,2015-11-22,Computer Engineering,3043,TX,2015,November,4,Sunday,Yes,VIP
Trustees Fund,Kansas City,College of Education,Endowment,4036.0,2015-05-27,Athletic Training,3044,MO,2015,May,2,Wednesday,No,Premium
Campus Recreation,Denver,College of Arts and Sciences,Campus Resource,9199.5,2015-08-25,Studio Art,3045,CO,2015,August,3,Tuesday,No,VIP
Parents Association,Raleigh,College of Natural Science,Campus Resource,15252.0,2015-06-13,Human Biology,3046,NC,2015,June,2,Saturday,Yes,VIP
Campus Recreation,Dallas,College of Natural Science,Campus Resource,15020.0,2015-12-09,Biochemistry and Molecular Biology/Biotechnology,3047,TX,2015,December,4,Wednesday,No,VIP
College of Natural Science,Louisville,College of Arts and Sciences,Scholarship,8880.0,2015-09-21,Humanities-Prelaw,3048,KY,2015,September,3,Monday,No,VIP
Diversity Fund,Phoenix,College of Social Science,Endowment,14168.0,2015-10-18,Urban and Regional Planning,3049,AZ,2015,October,4,Sunday,Yes,VIP
Trustees Fund,New York,College of Agriculture and Natural Resources,Endowment,3270.0,2015-04-30,Food Science,3050,NY,2015,April,2,Thursday,No,Premium
University Libraries,San Antonio,College of Business,Campus Resource,750.0,2015-01-27,Finance,3051,TX,2015,January,1,Tuesday,No,Large
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,10483.0,2015-06-01,Apparel and Textile Design,3052,CA,2015,June,2,Monday,No,VIP
University Libraries,Denver,College of Agriculture and Natural Resources,Campus Resource,16510.5,2015-12-15,Environmental Economics and Policy,3053,CO,2015,December,4,Tuesday,No,VIP
Alumni Association,Richmond,College of Engineering,Campus Resource,1782.0,2015-02-13,Biosystems Engineering,3054,VA,2015,February,1,Friday,No,Premium
Alumni Association,Springfield,College of Arts and Sciences,Campus Resource,2877.0,2015-03-10,Global Studies in the Arts and Humanities,3055,IL,2015,March,1,Tuesday,No,Premium
Honors Program,Charleston,College of Music,Campus Resource,14955.0,2015-05-10,Composition,3056,SC,2015,May,2,Sunday,Yes,VIP
College of Natural Science,Houston,College of Music,Scholarship,1286.0,2015-03-10,Composition,3057,TX,2015,March,1,Tuesday,No,Premium
University Annual Fund,San Antonio,College of Social Science,Endowment,10739.0,2015-08-23,Sociology,3058,TX,2015,August,3,Sunday,Yes,VIP
Campus Recreation,Anaheim,College of Arts and Sciences,Campus Resource,9425.0,2015-02-27,Spanish,3059,CA,2015,February,1,Friday,No,VIP
College of Arts and Sciences,Baton Rouge,College of Social Science,Scholarship,9354.0,2015-12-28,Public Policy,3060,LA,2015,December,4,Monday,No,VIP
University Annual Fund,Salt Lake City,College of Social Science,Endowment,7664.0,2015-02-04,Geographic Information Science,3061,UT,2015,February,1,Wednesday,No,VIP
College of Arts and Sciences,Denver,College of Music,Scholarship,10672.5,2015-03-31,Music,3062,CO,2015,March,1,Tuesday,No,VIP
College of Arts and Sciences,New Orleans,College of Social Science,Scholarship,5890.0,2015-04-22,Interdisciplinary Studies in Social Science,3063,LA,2015,April,2,Wednesday,No,VIP
College of Arts and Sciences,Memphis,College of Education,Scholarship,12925.0,2015-01-05,Special Education-Learning Disabilities,3064,TN,2015,January,1,Monday,No,VIP
Diversity Fund,Denver,College of Music,Endowment,12184.5,2015-03-14,Music Performance,3065,CO,2015,March,1,Saturday,Yes,VIP
Campus Museums,Oklahoma City,College of Music,Campus Resource,13339.0,2015-10-11,Composition,3066,OK,2015,October,4,Sunday,Yes,VIP
Trustees Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,11243.0,2015-08-29,Animal Science,3067,CA,2015,August,3,Saturday,Yes,VIP
College of Engineering,New York,College of Natural Science,Scholarship,5498.0,2015-10-22,Biochemistry and Molecular Biology,3068,NY,2015,October,4,Thursday,No,VIP
Trustees Fund,Paterson,College of Social Science,Endowment,4383.0,2015-10-18,Interdisciplinary Studies in Social Science,3069,NJ,2015,October,4,Sunday,Yes,Premium
Diversity Fund,Tucson,College of Business,Endowment,9240.0,2015-11-06,Marketing,3070,AZ,2015,November,4,Friday,No,VIP
College of Education,Kansas City,College of Agriculture and Natural Resources,Scholarship,1818.0,2015-09-28,Fisheries and Wildlife,3071,MO,2015,September,3,Monday,No,Premium
Faculty Chair Endowments,Grand Rapids,College of Social Science,Endowment,9425.0,2015-07-17,Human Development and Family Studies,3072,MI,2015,July,3,Friday,No,VIP
University Annual Fund,Tallahassee,College of Natural Science,Endowment,12492.0,2015-07-30,Environmental Biology/Zoology,3073,FL,2015,July,3,Thursday,No,VIP
Trustees Fund,Phoenix,College of Natural Science,Endowment,5859.0,2015-04-10,Biological Science Interdepartmental,3074,AZ,2015,April,2,Friday,No,VIP
Parents Association,New York,College of Education,Campus Resource,13484.0,2015-04-30,Education,3075,NY,2015,April,2,Thursday,No,VIP
College of Engineering,Dallas,College of Political Science,Scholarship,10088.0,2015-11-18,Comparative Cultures and Politics,3076,TX,2015,November,4,Wednesday,No,VIP
Diversity Fund,Knoxville,College of Social Science,Endowment,1577.0,2015-11-12,Urban and Regional Planning,3077,TN,2015,November,4,Thursday,No,Premium
College of Natural Science,Richmond,College of Agriculture and Natural Resources,Scholarship,12803.0,2015-08-25,Food Industry Management,3078,VA,2015,August,3,Tuesday,No,VIP
Faculty Chair Endowments,Milwaukee,College of Natural Science,Endowment,12909.0,2015-12-11,Geological Sciences,3079,WI,2015,December,4,Friday,No,VIP
University Annual Fund,New York,College of Natural Science,Endowment,4037.0,2015-10-28,Biochemistry and Molecular Biology,3080,NY,2015,October,4,Wednesday,No,Premium
Diversity Fund,Lexington,College of Natural Science,Endowment,11973.0,2015-06-06,"Mathematics, Advanced",3081,KY,2015,June,2,Saturday,Yes,VIP
Trustees Fund,San Francisco,College of Political Science,Endowment,13847.0,2015-05-15,Comparative Cultures and Politics,3082,CA,2015,May,2,Friday,No,VIP
University Annual Fund,Grand Rapids,College of Natural Science,Endowment,9407.0,2015-09-12,Earth Science Interdepartmental,3083,MI,2015,September,3,Saturday,Yes,VIP
College of Communication Arts and Sciences,Kansas City,College of Political Science,Scholarship,7582.0,2015-12-31,Political Theory and Constitutional Democracy,3084,MO,2015,December,4,Thursday,No,VIP
College of Natural Science,Seattle,College of Political Science,Scholarship,4089.0,2015-07-22,Social Relations and Policy,3085,WA,2015,July,3,Wednesday,No,Premium
Faculty Chair Endowments,San Antonio,College of Business,Endowment,2823.0,2015-10-13,Accounting,3086,TX,2015,October,4,Tuesday,No,Premium
Campus Museums,Hartford,College of Social Science,Campus Resource,11107.0,2015-04-04,Social Work,3087,CT,2015,April,2,Saturday,Yes,VIP
Diversity Fund,Chicago,College of Communication Arts and Sciences,Endowment,6761.0,2015-03-02,Journalism,3088,IL,2015,March,1,Monday,No,VIP
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,6368.0,2015-12-10,Philosophy,3089,CA,2015,December,4,Thursday,No,VIP
College of Arts and Sciences,Winston-salem,College of Arts and Sciences,Scholarship,12251.0,2015-06-14,French,3090,NC,2015,June,2,Sunday,Yes,VIP
Trustees Fund,Denver,College of Engineering,Endowment,2470.5,2015-05-31,Mechanical Engineering,3091,CO,2015,May,2,Sunday,Yes,Premium
University Libraries,Richmond,College of Natural Science,Campus Resource,6243.0,2015-12-14,Neuroscience,3092,VA,2015,December,4,Monday,No,VIP
College of Political Science,Lincoln,College of Business,Scholarship,2647.0,2015-09-20,Finance,3093,NE,2015,September,3,Sunday,Yes,Premium
Diversity Fund,Sacramento,College of Arts and Sciences,Endowment,15194.0,2015-05-17,Chinese,3094,CA,2015,May,2,Sunday,Yes,VIP
Alumni Association,Denver,College of Communication Arts and Sciences,Campus Resource,16446.0,2015-04-13,Advertising,3095,CO,2015,April,2,Monday,No,VIP
College of Nursing,Denver,College of Business,Scholarship,16951.5,2015-03-02,General Management,3096,CO,2015,March,1,Monday,No,VIP
Diversity Fund,Denver,College of Nursing,Endowment,5401.5,2015-08-16,Prenursing,3097,CO,2015,August,3,Sunday,Yes,VIP
Parents Association,Colorado Springs,College of Agriculture and Natural Resources,Campus Resource,790.0,2015-09-07,Natural Resource Recreation and Tourism,3098,CO,2015,September,3,Monday,No,Large
University Annual Fund,Nashville,College of Business,Endowment,11431.0,2015-02-19,Supply Chain Management,3099,TN,2015,February,1,Thursday,No,VIP
College of Arts and Sciences,Savannah,College of Social Science,Scholarship,11038.0,2015-01-17,Geography,3100,GA,2015,January,1,Saturday,Yes,VIP
College of Natural Science,Los Angeles,College of Arts and Sciences,Scholarship,10687.0,2015-12-01,Linguistics,3101,CA,2015,December,4,Tuesday,No,VIP
College of Natural Science,West Valley City,College of Arts and Sciences,Scholarship,428.0,2015-11-07,Apparel and Textiles,3102,UT,2015,November,4,Saturday,Yes,Medium
College of Natural Science,Kansas City,College of Social Science,Scholarship,1885.0,2015-11-01,Psychology,3103,MO,2015,November,4,Sunday,Yes,Premium
Athletics,San Francisco,College of Arts and Sciences,Campus Resource,13793.0,2015-10-01,Linguistics,3104,CA,2015,October,4,Thursday,No,VIP
Diversity Fund,Grand Rapids,College of Engineering,Endowment,12768.0,2015-01-27,Mechanical Engineering,3105,MI,2015,January,1,Tuesday,No,VIP
Alumni Association,Phoenix,College of Arts and Sciences,Campus Resource,7795.0,2015-03-25,Arabic,3106,AZ,2015,March,1,Wednesday,No,VIP
Campus Museums,New York,College of Social Science,Campus Resource,7197.0,2015-11-22,History Education,3107,NY,2015,November,4,Sunday,Yes,VIP
Minority Scholarship Fund,Miami,College of Agriculture and Natural Resources,Scholarship,10473.0,2015-12-05,Construction Management,3108,FL,2015,December,4,Saturday,Yes,VIP
Diversity Fund,Memphis,College of Agriculture and Natural Resources,Endowment,13324.0,2015-01-19,Environmental Studies and Agriscience,3109,TN,2015,January,1,Monday,No,VIP
Trustees Fund,Los Angeles,College of Natural Science,Endowment,934.0,2015-09-05,Biochemistry and Molecular Biology,3110,CA,2015,September,3,Saturday,Yes,Large
College of Agriculture and Natural Resources,Alexandria,College of Agriculture and Natural Resources,Scholarship,13030.0,2015-05-07,Food Science,3111,VA,2015,May,2,Thursday,No,VIP
University Annual Fund,New Haven,College of Nursing,Endowment,14943.0,2015-01-31,Summer Research Program,3112,CT,2015,January,1,Saturday,Yes,VIP
College of Natural Science,Jacksonville,College of Arts and Sciences,Scholarship,7534.0,2015-03-15,Arts & Letters-General,3113,FL,2015,March,1,Sunday,Yes,VIP
College of Natural Science,Dallas,College of Natural Science,Scholarship,338.0,2015-04-02,Zoology,3114,TX,2015,April,2,Thursday,No,Medium
Honors Program,San Diego,College of Social Science,Campus Resource,1180.0,2015-02-01,History,3115,CA,2015,February,1,Sunday,Yes,Premium
College of Natural Science,Oklahoma City,College of Natural Science,Scholarship,10598.0,2015-10-29,Neuroscience,3116,OK,2015,October,4,Thursday,No,VIP
Diversity Fund,New York,College of Social Science,Endowment,260.0,2015-01-31,Social Work,3117,NY,2015,January,1,Saturday,Yes,Medium
Trustees Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,14961.0,2015-04-18,Animal Science,3118,CA,2015,April,2,Saturday,Yes,VIP
Campus Museums,Portland,College of Natural Science,Campus Resource,1395.0,2015-04-27,Biomedical Laboratory Science,3119,OR,2015,April,2,Monday,No,Premium
In-State Scholarship Fund,Provo,College of Agriculture and Natural Resources,Scholarship,9635.0,2015-10-09,Interior Design,3120,UT,2015,October,4,Friday,No,VIP
College of Education,Phoenix,College of Natural Science,Scholarship,2467.0,2015-02-19,Human Biology,3121,AZ,2015,February,1,Thursday,No,Premium
Minority Scholarship Fund,Denver,College of Arts and Sciences,Scholarship,13494.0,2015-12-07,Linguistics,3122,CO,2015,December,4,Monday,No,VIP
College of Agriculture and Natural Resources,Denver,College of Arts and Sciences,Scholarship,9708.0,2015-09-10,German,3123,CO,2015,September,3,Thursday,No,VIP
College of Agriculture and Natural Resources,Seattle,College of Natural Science,Scholarship,13327.0,2015-04-03,Biochemistry and Molecular Biology/Biotechnology,3124,WA,2015,April,2,Friday,No,VIP
Campus Museums,Mesa,College of Agriculture and Natural Resources,Campus Resource,9400.0,2015-07-17,Natural Resource Recreation and Tourism,3125,AZ,2015,July,3,Friday,No,VIP
Parents Association,Sacramento,College of Arts and Sciences,Campus Resource,13058.0,2015-08-22,Philosophy,3126,CA,2015,August,3,Saturday,Yes,VIP
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,6216.0,2015-03-07,Interdisciplinary Humanities,3127,CO,2015,March,1,Saturday,Yes,VIP
Campus Recreation,Denver,College of Social Science,Campus Resource,4636.5,2015-01-09,Political Science-Prelaw,3128,CO,2015,January,1,Friday,No,Premium
Honors Program,North Las Vegas,College of Social Science,Campus Resource,15489.0,2015-07-16,Interdisciplinary Studies in Social Science,3129,NV,2015,July,3,Thursday,No,VIP
Campus Museums,Chicago,College of Agriculture and Natural Resources,Campus Resource,1782.0,2015-11-30,Horticulture,3130,IL,2015,November,4,Monday,No,Premium
Faculty Chair Endowments,Dallas,College of Social Science,Endowment,1999.0,2015-04-01,Political Science,3131,TX,2015,April,2,Wednesday,No,Premium
Campus Recreation,Pittsburgh,College of Social Science,Campus Resource,11176.0,2015-10-07,Geographic Information Science,3132,PA,2015,October,4,Wednesday,No,VIP
College of Arts and Sciences,Charleston,College of Natural Science,Scholarship,2960.0,2015-12-11,Biochemistry and Molecular Biology/Biotechnology,3133,SC,2015,December,4,Friday,No,Premium
Trustees Fund,Chicago,College of Social Science,Endowment,1269.0,2015-02-10,History,3134,IL,2015,February,1,Tuesday,No,Premium
Diversity Fund,San Francisco,College of Agriculture and Natural Resources,Endowment,4638.0,2015-03-22,Animal Science,3135,CA,2015,March,1,Sunday,Yes,Premium
University Libraries,Spokane,College of Social Science,Campus Resource,3204.0,2015-12-10,Criminal Justice,3136,WA,2015,December,4,Thursday,No,Premium
Trustees Fund,Chicago,College of Arts and Sciences,Endowment,4616.0,2015-08-23,Spanish,3137,IL,2015,August,3,Sunday,Yes,Premium
Athletics,Los Angeles,College of Music,Campus Resource,10028.0,2015-01-19,Music Performance,3138,CA,2015,January,1,Monday,No,VIP
College of Agriculture and Natural Resources,Richmond,College of Arts and Sciences,Scholarship,10135.0,2015-06-17,Apparel and Textiles,3139,VA,2015,June,2,Wednesday,No,VIP
University Annual Fund,Chicago,College of Agriculture and Natural Resources,Endowment,12231.0,2015-05-23,Agribusiness Management,3140,IL,2015,May,2,Saturday,Yes,VIP
Honors Program,Denver,College of Education,Campus Resource,12591.0,2015-04-20,Special Education-Learning Disabilities,3141,CO,2015,April,2,Monday,No,VIP
College of Agriculture and Natural Resources,Dallas,College of Natural Science,Scholarship,13614.0,2015-07-22,Human Biology,3142,TX,2015,July,3,Wednesday,No,VIP
Trustees Fund,Phoenix,College of Natural Science,Endowment,7661.0,2015-08-17,Physical Science Interdepartmental,3143,AZ,2015,August,3,Monday,No,VIP
Campus Museums,Sacramento,College of Business,Campus Resource,4782.0,2015-02-06,General Management,3144,CA,2015,February,1,Friday,No,Premium
College of Agriculture and Natural Resources,Atlanta,College of Nursing,Scholarship,11021.0,2015-02-25,Nursing,3145,GA,2015,February,1,Wednesday,No,VIP
College of Natural Science,Kansas City,College of Natural Science,Scholarship,1842.0,2015-12-26,"Mathematics, Advanced",3146,MO,2015,December,4,Saturday,Yes,Premium
In-State Scholarship Fund,Oklahoma City,College of Arts and Sciences,Scholarship,6632.0,2015-08-08,Women's and Gender Studies,3147,OK,2015,August,3,Saturday,Yes,VIP
College of Natural Science,Nashville,College of Social Science,Scholarship,4134.0,2015-11-22,Interdisciplinary Studies in Social Science - Social Science Education,3148,TN,2015,November,4,Sunday,Yes,Premium
